City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
285,Megion,RU,2020-01-14 04:48:24,61.03,76.11,17.6,85,90,13.42
286,Rodrigues Alves,BR,2020-01-14 04:48:24,-7.74,-72.65,71.87,97,100,2.3
287,Antofagasta,CL,2020-01-14 04:48:24,-23.65,-70.4,66.2,72,90,6.93
288,Hobyo,SO,2020-01-14 04:48:25,5.35,48.53,81.61,63,36,22.06
289,Madaoua,NE,2020-01-14 04:48:25,14.07,5.96,66.34,12,67,12.66
290,Camacha,PT,2020-01-14 04:48:25,33.08,-16.33,64.4,77,40,10.29
291,Huarmey,PE,2020-01-14 04:48:25,-10.07,-78.15,67.6,82,45,2.1
292,Natal,BR,2020-01-14 04:48:25,-5.79,-35.21,78.8,83,40,6.93
293,Puerto Del Rosario,ES,2020-01-14 04:48:26,28.5,-13.86,66.2,62,0,4.7
294,Polyarnyy,RU,2020-01-14 04:48:26,69.2,33.45,23.0,85,75,4.47
295,Rawson,AR,2020-01-14 04:48:26,-43.3,-65.1,68.2,70,83,16.11
296,Taoudenni,ML,2020-01-14 04:38:29,22.68,-3.98,47.07,45,29,9.26
297,Margate,GB,2020-01-14 04:48:27,51.38,1.39,48.2,93,20,13.87
298,Port Lincoln,AU,2020-01-14 04:48:27,-34.73,135.87,74.44,58,0,14.03
299,Longyearbyen,SJ,2020-01-14 04:44:03,78.22,15.64,3.2,54,20,10.29
300,Cairns,AU,2020-01-14 04:45:15,-16.92,145.77,80.01,94,90,13.87
301,Ingham,US,2020-01-14 04:48:27,42.6,-84.38,34.0,90,90,4.7
302,Kirakira,SB,2020-01-14 04:48:28,-10.45,161.92,81.23,84,100,7.09
